author,title,amazon_link,category,notes_slug,summary
Edvard Radzinsky,Stalin,http://amzn.to/2fPWZE7,,,"Biography of one of the most ruthless and effective dictators ever.  Stalin inherited a rural peasantry and transformed it into an industrial superpower in 20 years, while waging war against Hitler, taking some 50 million lives in the process."
Jack Weatherford,Genghis Khan and the Making of the Modern World,http://amzn.to/2vIF6g5,,,The life of Temí_jin and how the values the Mongols carried with the as they built their empire laid the foundation for much of what we consider the hallmarks of modernity.
Yuval Noah Harari,Homo Deus,http://amzn.to/2ozpWpI,,,Loved this book.  So much to say about how the next hundred years of technological development will fundamentally change what it means to be human.
Tyler Cowen,The Complacent Class,http://amzn.to/2vgXrgU,,,"Prediction of the increasing tendancy for Americans to keep the country the way it is.  It didn't grab me as much as his previous two, and didn't pick it up after the flight I started it on."
Twyla Tharp,The Creative Habit,http://amzn.to/2ozgpyV,,,"I've been trying to restart a creative thinking habit.  Picked the book up, put it down, then did so again.  I feel I got a better return on investment from The Artist's Way."
Walter Isaacson,The Innovators,http://amzn.to/2tQQyDO,,,"The 150 year history of the hundreds of inventors and contributors that gave rise to personal computers, the Internet and the modern information age.  Similar in spirit to The Making of the Atomic Bomb in all the best ways possible."
John Miles White,Bandit Algorithms for Website Optimization,http://amzn.to/2vhk198,,,Basic coverage on the motivation and techniques for using multi-arm bandit algorithms to continually tweak websites.
Ben Rich,Skunkworks,http://amzn.to/2sUKp8k,,,"History and accomplishments of Lockheed's special projects group responsible for the U2, the SR-71 and the stealth fighter amongst other aircraft.  A study in small teams doing amazingly innovative work."
Vasily Grossman,A Writer at War,http://amzn.to/2tQiTu0,,,"Notes from one of the most widely traveled World War II Soviet reporters.  Grossman had nearly-unrestricted access to the Soviet Eastern Front and he paints a very comprehensive picture of life on the ground.  Chilling, to say the least."
Dave Asprey,Head Strong,http://amzn.to/2oznIqs,,,Tour of many approaches to improve cognitive function.  I do some already and will need to test the rest before reporting back on efficacy.
Richard Rhodes,Dark Sun,http://amzn.to/2rLKuxi,,,Followup to the excellent Making of the Atomic Bomb.  Expands coverage to include Russian scientific/technical developments and espionage.  Somehow it didn't grab me as much and I put it down half way through.
Massimo Pigliucci,How to Be a Stoic,http://amzn.to/2q0E9wQ,,,"Another book on Stoic philosophy.  A few good explanations, but mostly a rehash for me.  However, I think it's worth it for the practical spirtual exercises alone, which echo [Ben Franklin's virtues](http://www.thirteenvirtues.com/)."
Tom Wolfe,The Right Stuff,http://amzn.to/2rOLD4D,,,"History of the Mercury 7 program and the first astronauts.  Rocket planes, fighter-jock machismo and the willingness to place oneself in the path of danger to prove you have it.  I really enjoyed this."
Cameron Davidson-Pilon,Bayesian Methods for Hackers,http://amzn.to/2kyFu8v,,,Started it and immediately switched to [Doing Bayesian Data Analysis](http://amzn.to/2ofEY0g) for more depth.  I find this book best as a tutorial for [PyMC3](https://pymc-devs.github.io/pymc3/).
James Gliek,Genius: The Life and Science of Richard Feynman,http://amzn.to/2rfi4MQ,,,"Doesn't play up his persona as much as [Surely You're Joking](http://amzn.to/2qNdbZN) but covers the history and implications of his physics well.  I didn't find a whole lot new in it, but I've already read most other books on Feynman and his area."
Chris Bellamy,Absolute War,http://amzn.to/2ohqjmn,,,"First in what I imagine will be many books about the Eastern Front of WWII.  I highly recommend Dan Carlin's [Ghosts of the Ostfront](http://www.dancarlin.com/product/hardcore-history-ghosts-ostfront-series/) series, if you're at all curious. The book focused on military operations and the logistics of those movements, and vignettes of the major characters.  While I didn't want the book to be overwhelmed with stories from the front, I found the book glossed over it to a surprising degree.  If you skim too fast, you could miss a million deaths."
Kim Zetter,Countdown to Zero Day,http://amzn.to/2qnEMhZ,,,"The story behind Stuxnet, sabotage of the Iranian nuclear program and the vulnerability of infrastructure in the coming age of cyber-warfare.  The future is scary."
Daniel Coyle,The Talent Code,http://amzn.to/2qiXoCF,,,"What is necessary to give rise to talent, in any area.  I'm having trouble summarizing it, but there are some good gems among the pop-neuroscience and personal anecdotes."
William Manchester,"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965",http://amzn.to/2p9cSZS,,,Continuing the previous biography about Churchill's time as Prime Minister during WWII.  I got too fascinated in the Eastern Front and stopped in favor of reading on that.
Timothy C. Urdan,Statistics in Plain English,http://amzn.to/2oztSqn,,,"This is the intro frequentist statistics book I've been looking for.  There's dozens of books that cover the basic curriculum, but the majority either assume move too slowly for me or assume too much background.  This one hit the sweet spot."
William Manchester,"The Last Lion: Winston Spencer Churchill: Alone, 1932-1940",http://amzn.to/2p3AqiF,,,2nd in a Winston Churchill biography trilogy.  My main takeaway was a greater understanding of the run-up to WWII.
Oliver Sacks,Gratitude,http://amzn.to/2miuyR1,,,"Oliver Sacks looks back on his life and contemplates old age.  A short, endearing reminder of where one's priorities should be.  This one will be reread many times."
"David Diez, Christopher Barr & Mine íˆetinkaya-Rundel",OpenIntro Statistics,http://amzn.to/2iGIoek,,,"Intro stats book.  Moved too slowly, and hand-waved away too many details for me.  If you want to understand this subject matter, I recommend [Statistics in Plain English](http://amzn.to/2oztSqn) instead."
Frank Herbert,Dune,http://amzn.to/2lbslC9,,,"Never fear, I've read it before; I'll read it again.  The hardcover edition was too good to pass up."
Adam Steltzner,The Right Kind of Crazy,http://amzn.to/2mx7Fp2,,,Book on curiosity and technical leadership (that is leading both technological development and the people doing it) by the JPL scientist responsible for the _Curiosity_ Sky Crane.
Edward Hallowell,Driven to Distraction,http://amzn.to/2i2CC1W,,,"Definitive work on ADHD, especially in adults.  While most pertinent to those with ADHD, I think it's lessons broadly applicable.  On any topic, the best instruction often comes from the ones for which a skill comes the least naturally.  The systems and psychology that help the distractable get stuff done are of interest to all."
Paul Kalanithi,When Breath Becomes Air,http://amzn.to/2myfzOY,,,The words of the dying are perhaps the best advice on how to live.
Norman MacRae,John Von Neumann,http://amzn.to/2kBv8Z5,,,"Father of the modern computer, among many other accomplishments.  While an innate genius (a term much overused, but truly warranted here) his skill was as much nuture as nature.  As such, the book provides nuggets to develop your own thinking skills."
Elizabeth Dunn & Michael Norton,Happy Money,http://amzn.to/2laGe4M,,,"Survey of scientific literature regarding how money affects our emotional well-being.  Sadly, some of the examples confuse correlation and causation, but the overall advice is very useful to consider if you want to buy the most happiness for your dollar."
Benjamin Todd,"80,000 Hours",http://amzn.to/2laUXvC,,,"A well-reasoned examination of how to do the most social good with one's career, focused on readers just starting theirs. "
